,aNWP,aNSW,rSL,avWLiC,avWpS,aSN,SC,avNSyl,WV2,FRE,aNShort,language,.,!,?,",",-,of,is,the,class
44,2897,0.4017949603037625,136.24603174603175,4.799102519848119,22.99206349206349,126,4.307256235827665,1.4863652053848808,0.4301001035554022,57.92072584666133,0.014152571625819814,10,0.3842239185750636,0.007633587786259542,0.035623409669211195,0.44274809160305345,0.1297709923664122,0.027959958577839145,0.01484294097342078,0.05177770107007249,1
45,2865,0.3898778359511344,90.99428571428571,4.492844677137871,16.37142857142857,175,0.6278857142857143,1.4139616055846422,0.3682373472949389,70.80564816753929,0.030366492146596858,10,0.6829268292682927,0.020905923344947737,0.05574912891986063,0.23344947735191637,0.006968641114982578,0.01780104712041885,0.014310645724258289,0.04153577661431065,3
46,2311,0.3807875378623972,125.08411214953271,4.711380354824751,21.598130841121495,107,1.551227181413224,1.4686282994374729,0.40977931631328435,60.80923278347767,0.015144958892254435,10,0.5630630630630631,0.0045045045045045045,0.02702702702702703,0.36036036036036034,0.04504504504504504,0.023366508005192556,0.012981393336218087,0.059281696235395934,2
47,1856,0.39978448275862066,118.36666666666666,4.702047413793103,20.622222222222224,90,0.2854320987654321,1.4951508620689655,0.4137931034482759,59.650514846743306,0.014547413793103448,10,0.8308823529411765,0.0,0.007352941176470588,0.125,0.03676470588235294,0.029633620689655173,0.014008620689655173,0.05549568965517242,1
48,1172,0.36945392491467577,539.2307692307693,4.813139931740614,90.15384615384616,13,70.93491124260355,1.4641638225255973,0.4906143344709898,-7.758644001050129,0.0,10,0.41358024691358025,0.012345679012345678,0.037037037037037035,0.4567901234567901,0.08024691358024691,0.026450511945392493,0.00938566552901024,0.050341296928327645,1
49,2425,0.3872164948453608,170.69411764705882,4.915876288659794,28.529411764705884,85,2.9220761245674742,1.525360824742268,0.3665979381443299,48.89182716798062,0.003711340206185567,10,0.42857142857142855,0.0049261083743842365,0.0049261083743842365,0.5123152709359606,0.04926108374384237,0.030927835051546393,0.009484536082474227,0.07835051546391752,1
50,2854,0.36510161177295025,121.40845070422536,4.967764540995095,20.098591549295776,142,1.3658996230906568,1.5606166783461808,0.3615977575332866,54.52112478656101,0.01296426068675543,10,0.552901023890785,0.010238907849829351,0.010238907849829351,0.32081911262798635,0.10580204778156997,0.03258584442887176,0.012613875262789068,0.0606166783461808,1
51,2916,0.42352537722908096,102.17948717948718,4.32681755829904,18.692307692307693,156,2.5125739644970415,1.343278463648834,0.3425925925925926,74.3055330009497,0.03635116598079561,10,0.42118863049095606,0.007751937984496124,0.05426356589147287,0.4082687338501292,0.10852713178294573,0.019204389574759947,0.01783264746227709,0.04458161865569273,1
52,3235,0.39938176197836167,102.07954545454545,4.4621329211746525,18.380681818181817,176,1.8564372417355373,1.3885625965996908,0.3094281298299845,70.76388273675708,0.021638330757341576,10,0.444743935309973,0.005390835579514825,0.08355795148247978,0.41778975741239893,0.04851752021563342,0.02194744976816074,0.011128284389489953,0.03771251931993817,1
53,1799,0.3668704836020011,188.17543859649123,4.8143413007226235,31.56140350877193,57,11.407202216066482,1.4669260700389104,0.35019455252918286,50.71603693084855,0.010561423012784881,10,0.26053639846743293,0.0,0.019157088122605363,0.5440613026819924,0.17624521072796934,0.023346303501945526,0.011673151750972763,0.04669260700389105,1
54,3020,0.39172185430463574,130.22307692307692,4.558278145695364,23.23076923076923,130,0.8547928994082841,1.4258278145695364,0.33211920529801325,62.79469765664801,0.010596026490066225,10,0.6437768240343348,0.012875536480686695,0.004291845493562232,0.26609442060085836,0.07296137339055794,0.016225165562913906,0.018543046357615896,0.05198675496688742,1
55,3123,0.3983349343579891,125.03597122302158,4.4716618635927,22.467625899280577,139,1.1722995704156098,1.393852065321806,0.3272494396413705,66.2857267845666,0.024975984630163303,10,0.5894039735099338,0.009933774834437087,0.013245033112582781,0.24834437086092714,0.1390728476821192,0.024015369836695485,0.01408901697086135,0.06340057636887608,1
